LSOA2011,LSOA.name.(2011),Local.Authority.District.code.(2019),Local.Authority.District.name.(2019),Index.of.Multiple.Deprivation.(IMD).Score,Index.of.Multiple.Deprivation.(IMD).Rank,Index.of.Multiple.Deprivation.(IMD).Decile,Index.of.Multiple.Deprivation.(IMD).Decile,Income.Score.(Rank,Income.Score.(Decile,Employment.Score.(rate),Employment.Score.(Rank,Employment.Score.(Decile,"Education,.Skills.and.Training.Score","Education,.Skills.and.Training.Rank","Education,.Skills.and.Training.Decile",Health.Deprivation.and.Disability.Score,Health.Deprivation.and.Disability.Rank,Health.Deprivation.and.Disability.Decile,Crime.Score,Crime.Rank,Crime.Decile,Barriers.to.Housing.and.Services.Score,Barriers.to.Housing.and.Services.Rank,Barriers.to.Housing.and.Services.Decile,Living.Environment.Score,Living.Environment.Rank,Living.Environment.Decile,Income.Depriv.Affecting.Children.Index.(IDACI).Score.(rate),Income.Depriv.Affecting.Children.Index.(IDACI).Score.(Rank,Income.Depriv.Affecting.Children.Index.(IDACI).Score.(Decile,Income.Depriv.Affecting.Older.People.(IDAOPI).Score.(rate),Income.Depriv.Affecting.Older.People.(IDAOPI).Score.(Rank,Income.Depriv.Affecting.Older.People.(IDAOPI).Score.(Decile,Children.and.Young.People.Sub-domain.Score,Children.and.Young.People.Sub-domain.Rank,Children.and.Young.People.Sub-domain.Decile,Adult.Skills.Sub-domain.Score,Adult.Skills.Sub-domain.Rank,Adult.Skills.Sub-domain.Decile,Geographical.Barriers.Sub-domain.Score,Geographical.Barriers.Sub-domain.Rank,Geographical.Barriers.Sub-domain.Decile,Wider.Barriers.Sub-domain.Score,Wider.Barriers.Sub-domain.Rank,Wider.Barriers.Sub-domain.Decile,Indoors.Sub-domain.Score,Indoors.Sub-domain.Rank,Indoors.Sub-domain.Decile,Outdoors.Sub-domain.Score,Outdoors.Sub-domain.Rank,Outdoors.Sub-domain.Decile
E01008881,Birmingham 067A,E08000025,Birmingham,41.179,299,5,6,307.5,5,0.191,239,4,31.443,313,5,0.605,351,6,0.733,161,3,26.689,483,8,53.329,105,2,0.256,329.5,6,0.297,284.5,5,-0.076,428,7,0.459,226.5,4,-1.033,559,9,3.625,304,5,1.127,133.5,3,1.247,146,3
E01008882,Birmingham 066A,E08000025,Birmingham,59.693,61,1,2,164.5,3,0.249,70.5,2,49.584,152,3,1.374,62,1,0.739,159.5,3,40.006,53,1,57.869,59,1,0.298,262.5,5,0.411,144,3,0.521,218,4,0.529,105.5,2,0.044,172.5,3,4.41,172,3,1.189,101,2,1.445,62.5,1
E01008883,Birmingham 078A,E08000025,Birmingham,38.636,318,5,6,313.5,5,0.145,350,6,34.866,282,5,0.648,332,6,0.208,403,7,32.284,297,5,56.12,76,2,0.27,307.5,5,0.384,180.5,3,0.257,321.5,6,0.453,234,4,-0.137,252.5,4,3.608,308,5,1.292,62,1,1.031,275,5
E01008884,Birmingham 078B,E08000025,Birmingham,44.315,259,5,6,249,4,0.167,303.5,5,35.441,278,5,0.474,405.5,7,0.113,445,7,40.686,45,1,62.306,33,1,0.319,225,4,0.404,148.5,3,0.359,280,5,0.447,249,4,0.094,151,3,4.412,171,3,1.428,28,1,1.192,170,3
E01008885,Birmingham 076A,E08000025,Birmingham,22.921,480,8,9,514.5,9,0.073,535,9,24.28,368,6,-0.084,589,10,0.125,439,7,35.439,155,3,45.38,239,4,0.146,467.5,8,0.133,513.5,8,0.224,337.5,6,0.36,372,6,0.516,33,1,2.415,464,8,0.896,261,5,1.142,203.5,4
E01008886,Birmingham 076B,E08000025,Birmingham,39.518,310,5,6,348.5,6,0.146,346.5,6,26.818,345,6,0.764,276.5,5,1.112,52,1,33.541,257,5,51.94,123,2,0.234,360.5,6,0.277,314.5,5,0.247,328.5,6,0.382,341.5,6,0.217,103,2,3.003,396,7,1.092,157,3,1.221,154.5,3
E01008887,Birmingham 078C,E08000025,Birmingham,46.456,229,4,5,325,6,0.2,205,4,43.088,205,4,1.108,150,3,0.333,334,6,36.261,123,2,55.648,79,2,0.239,353,6,0.246,347,6,0.832,105,2,0.445,251.5,4,0.094,151,3,3.801,275,5,1.326,46,1,0.88,380.5,6
E01008888,Birmingham 076C,E08000025,Birmingham,22.717,485,8,9,543.5,9,0.07,547,9,22.847,385,7,0.208,509,8,-0.159,535,9,34.029,236,4,51.03,143,3,0.114,514,9,0.122,534.5,9,0.053,393,7,0.367,364,6,0.559,24,1,1.965,528,9,1.196,97.5,2,0.857,400.5,7
E01008889,Birmingham 078D,E08000025,Birmingham,42.823,280,5,6,338,6,0.173,285.5,5,35.93,274,5,0.896,227,4,0.091,451,8,35.907,143,3,64.647,18,1,0.194,400.5,7,0.319,251,4,0.536,210.5,4,0.428,271,5,-0.067,219,4,4.039,228,4,1.553,11,1,1.056,259,5
E01008890,Birmingham 089A,E08000025,Birmingham,31.328,386,7,8,367.5,6,0.127,389,7,22.775,387,7,0.783,269,5,0.456,277.5,5,29.113,401,7,35.558,420,7,0.186,410,7,0.29,296,5,0.12,368,6,0.358,380,6,-0.511,401.5,7,3.622,305,5,0.598,401,7,0.934,347.5,6
